by,score
0x54MUR41,7.0
0xedb,44.0
11001100,3.0
1ikigai,190.0
8bitsrule,275.0
ADD-SP,24.0
AlbertCory,52.0
AndreaRusso,8.0
Anon84,138.0
Avshalom,960.0
BLKNSLVR,4408.0
Bencarneiro,695.0
Bluestein,21.0
Brajeshwar,83.71428571428571
Caiero,4.0
CrankyBear,27.0
Erikun,14.0
GalKlm,101.0
GeoAtreides,93.0
Hooke,25.0
HowToFinishP,63.0
IgorPartola,15.0
Infolektuell,7.0
Jaruzel,19.0
Jimmc414,31.0
Joseph614,16.0
JumpCrisscross,43.0
JustinSkycak,210.0
KhushPatibandha,22.0
KingOfCoders,4.0
KoosL,4.0
Kye,254.0
LaSombra,3.0
MBCook,8.0
MaKey,53.0
Nazzareno,45.0
NegatioN,14.0
NinjaKoala,112.0
OmegaDungeon,43.0
Osis,125.0
Ozarkian,95.5
PaulHoule,12.25
Petiver,3.0
RafelMri,150.0
RandomBK,63.0
Retr0id,1080.0
Rinzler89,14.0
Stratoscope,33.0
TealMyEal,19.0
Terretta,14.0
Thevet,3.0
Tomte,53.333333333333336
Topfi,9.0
Viraxi,245.0
WWWMMMWWW,34.0
XzetaU8,27.0
YakBizzarro,7.0
Zamiel_Snawley,6.0
_tk_,14.0
aadillpickle,13.0
aapoalas,17.0
abhinav612,4.0
acassis,20.0
adpreese,36.0
aendruk,48.0
aerugo_,21.0
ajb,28.0
ajford,32.0
akbarnama,10.0
alexahn,136.0
amichail,42.0
ampersand42,44.0
andreagrandi,3.0
andriosr,20.0
andsoitis,5.0
anigbrowl,6.0
ankitdce,11.0
ano-ther,87.0
anticensor,214.0
apollinaire,37.0
apsec112,365.0
aragonite,21.0
archagon,12.0
arendjr,176.0
argoeris,211.0
ashish01,175.0
ashton314,10.0
aspenmayer,30.0
atomicbeanie,16.0
austinallegro,166.0
awenix,47.0
ayoisaiah,13.0
azeemba,6.0
azhenley,144.0
badrabbit,74.0
bane,32.0
barrister,23.0
bcatanzaro,409.0
bckr,6.0
bearjaws,6.0
beefman,230.0
behnamoh,179.5
belter,127.75
benatkin,11.0
benvanwerkhoven,9.0
billybuckwheat,28.0
